title,price,location,size_m2,url,page
Apartment to purchase in Chotrana 3. 3 comfortable rooms. Th...,Price on request,La Soukra,"118
						m²",N/A,6
Fabulous apartment for sale in Chotrana 3. Total area 111 m²...,Price on request,La Soukra,"111
						m²",N/A,6
Sale of a lovely apartment in Chotrana 3.3 large rooms. Doub...,Price on request,La Soukra,"123
						m²",N/A,6
Fabulous apartment for sale in Chotrana 3.2 beautiful rooms...,Price on request,La Soukra,"115
						m²",N/A,6
Sell apartment in Chotrana 3.4 large rooms. Double glazing a...,Price on request,La Soukra,"162
						m²",N/A,6
Residence Floria - Cité el Ghazela,"From309,900 TND",Raoued,N/A,N/A,6
Sell apartment in Chotrana 3.3 rooms. Central heating and re...,Price on request,La Soukra,"115
						m²",N/A,6
Find an apartment to buy in Chotrana 1.3 beautiful rooms. Gr...,"850,000 TND",La Soukra,"190
						m²",N/A,6
Fabulous apartment for sale in Les Jardins de Carthage. Tota...,"648,000 TND",La Marsa,"135
						m²",N/A,6
Find an apartment to buy in Les Jardins de Carthage. 4 comfo...,Price on request,La Marsa,"326
						m²",N/A,6
Beautiful apartment for sale in Hammamet. Dimension 175 m²...,"380,000 TND",Hammamet,"175
						m²",N/A,6
Apartment for sale in Riadh al Andalous. Total area 150 m²...,"410,000 TND",Ariana Ville,"150
						m²",N/A,6
Fabulous apartment for sale in Cité El Wafa. Dimension 95 m²...,"410,000 TND",Nabeul,"95
						m²",N/A,6
Sale of a lovely apartment in Ain Zaghouan Nord. 3 rooms. Se...,Price on request,La Marsa,"221
						m²",N/A,6
Apartment to purchase in Hammamet. 2 rooms. Central heating,"390,000 TND",Hammamet,"116
						m²",N/A,6
Sale of a lovely apartment in Les Jardins d'El Menzah 1. Are...,Price on request,Ariana Ville,"112
						m²",N/A,6
Sale of a lovely apartment in Les Berges Du Lac 2. 2 rooms...,"590,000 TND",La Marsa,"115
						m²",N/A,6
"Beautiful apartment for sale. Large area 101 m². Carpark, Ba...","260,000 TND",Hergla,"101
						m²",N/A,6
Sell apartment. 3 rooms. Garage and terrace,"370,000 TND",Akouda,"74
						m²",N/A,6
Fabulous apartment for sale in Cité de la Plage. Dimension 1...,"720,000 TND",Hammam Sousse,"160
						m²",N/A,6
Apartment for sale in Akouda. Surface area 100 m². Integrate...,"260,000 TND",Akouda,"100
						m²",N/A,6
Sale of a lovely apartment in Aouina. 4 large rooms. With Li...,"315,000 TND",La Marsa,"137
						m²",N/A,6
